LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.7 on Tue May 24 22:01:43 +0800 2022
 1668 atoms
 2392 bonds
 4674 angles
 9128 dihedrals
 0 impropers
 2 atom types
 2 bond types
 2 angle types
 4 dihedral types
 0 improper types
 -100.616510 99.383490  xlo xhi
 -100.271021 99.728979  ylo yhi
 -100.712492 99.287508  zlo zhi

Pair Coeffs

       1 0.03000000000000 2.42003727795642 0.03000000000000 2.42003727795642 # HGR61
       2 0.07000000000000 3.55005321204562 0.07000000000000 3.55005321204562 # CG2R61

Bond Coeffs

           1  305.000   1.3750 # CG2R61 CG2R61
           2  340.000   1.0800 # CG2R61 HGR61

Angle Coeffs

           1   40.00000  120.00000   35.00000    2.41620 # CG2R61 CG2R61 CG2R61
           2   30.00000  120.00000   22.00000    2.15250 # CG2R61 CG2R61 HGR61

Dihedral Coeffs

           1       3.1000        2          180 0.50 # CG2R61 CG2R61 CG2R61 CG2R61
           2       3.1000        2          180 1.00 # CG2R61 CG2R61 CG2R61 CG2R61
           3       4.2000        2          180 1.00 # CG2R61 CG2R61 CG2R61 HGR61
           4       2.4000        2          180 1.00 # HGR61 CG2R61 CG2R61 HGR61

 Masses

 1 1.008000 # 1
 2 12.011000 # 3

 Atoms # full

1 1 2 0.000000 -30.837000 -0.277000 -31.335501 # 3 
2 1 2 0.000000 -29.604000 -0.277000 -32.047501 # 3 
3 1 2 0.000000 -28.370001 -0.277000 -31.335501 # 3 
4 1 2 0.000000 -28.370001 -0.277000 -29.911501 # 3 
5 1 2 0.000000 -29.604000 -0.277000 -29.199499 # 3 
6 1 2 0.000000 -30.837000 -0.277000 -29.911501 # 3 
7 1 2 0.000000 -32.070999 -0.277000 -29.199499 # 3 
8 1 1 0.000000 -31.764122 -0.278898 -31.886820 # 1 
9 1 1 0.000000 -29.616129 -0.278351 -33.126133 # 1 
10 1 1 0.000000 -33.012253 -0.304886 -29.721893 # 1 
11 2 2 0.000000 -32.070999 -0.277000 -27.774500 # 3 
12 2 2 0.000000 -30.837000 -0.277000 -27.062500 # 3 
13 2 2 0.000000 -29.604000 -0.277000 -27.774500 # 3 
14 2 2 0.000000 -28.370001 -0.277000 -27.062500 # 3 
15 2 2 0.000000 -28.370001 -0.277000 -25.638500 # 3 
16 2 2 0.000000 -29.604000 -0.277000 -24.926500 # 3 
17 2 2 0.000000 -30.837000 -0.277000 -25.638500 # 3 
18 2 2 0.000000 -32.070999 -0.277000 -24.926500 # 3 
19 2 1 0.000000 -33.044624 -0.283448 -27.322939 # 1 
20 2 1 0.000000 -33.044029 -0.277519 -25.379721 # 1 
21 3 2 0.000000 -32.070999 -0.277000 -23.501499 # 3 
22 3 2 0.000000 -30.837000 -0.277000 -22.789499 # 3 
23 3 2 0.000000 -29.604000 -0.277000 -23.501499 # 3 
24 3 2 0.000000 -28.370001 -0.277000 -22.789499 # 3 
25 3 2 0.000000 -28.370001 -0.277000 -21.365499 # 3 
26 3 2 0.000000 -29.604000 -0.277000 -20.653500 # 3 
27 3 2 0.000000 -30.837000 -0.277000 -21.365499 # 3 
28 3 2 0.000000 -32.070999 -0.277000 -20.653500 # 3 
29 3 1 0.000000 -33.044170 -0.276544 -23.048750 # 1 
30 3 1 0.000000 -33.043880 -0.281001 -21.106653 # 1 
31 4 2 0.000000 -32.070999 -0.277000 -19.228500 # 3 
32 4 2 0.000000 -30.837000 -0.277000 -18.516500 # 3 
33 4 2 0.000000 -29.604000 -0.277000 -19.228500 # 3 
34 4 2 0.000000 -28.370001 -0.277000 -18.516500 # 3 
35 4 2 0.000000 -28.370001 -0.277000 -17.092501 # 3 
36 4 2 0.000000 -29.604000 -0.277000 -16.380501 # 3 
37 4 2 0.000000 -30.837000 -0.277000 -17.092501 # 3 
